datetime,equity,cash,positions_value,positions,return,return_cum
2022-05-13,21358.312,107.374,21250.939,{'SPY': 54},2.353,113.583
2022-05-16,21356.522,21356.522,0.0,{'SPY': 0},-0.008,113.565
2022-05-17,21356.522,21356.522,0.0,{'SPY': 0},0.0,113.565
2022-05-18,21356.522,21356.522,0.0,{'SPY': 0},0.0,113.565
2022-05-19,21221.119,236.182,20984.936,{'SPY': 55},-0.634,112.211
2022-05-20,21229.204,236.182,20993.022,{'SPY': 55},0.038,112.292
2022-05-23,21624.17,236.182,21387.988,{'SPY': 55},1.86,116.242
2022-05-24,21622.39,21622.39,0.0,{'SPY': 0},-0.008,116.224
2022-05-25,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-05-26,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-05-27,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-05-31,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-06-01,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-06-02,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-06-03,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-06-06,21622.39,21622.39,0.0,{'SPY': 0},0.0,116.224
2022-06-07,21825.16,240.3,21584.86,{'SPY': 53},0.938,118.252
2022-06-08,21823.35,21823.35,0.0,{'SPY': 0},-0.008,118.233
2022-06-09,21302.022,62.726,21239.296,{'SPY': 54},-2.389,113.02
2022-06-10,20685.693,62.726,20622.967,{'SPY': 54},-2.893,106.857
2022-06-13,19902.72,62.726,19839.994,{'SPY': 54},-3.785,99.027
2022-06-14,19839.232,62.726,19776.506,{'SPY': 54},-0.319,98.392
2022-06-15,20120.151,62.726,20057.425,{'SPY': 54},1.416,101.202
2022-06-16,19474.727,62.726,19412.001,{'SPY': 54},-3.208,94.747
2022-06-17,19500.593,62.726,19437.867,{'SPY': 54},0.133,95.006
2022-06-21,19990.999,62.726,19928.273,{'SPY': 54},2.515,99.91
2022-06-22,19954.873,62.726,19892.147,{'SPY': 54},-0.181,99.549
2022-06-23,20153.588,62.726,20090.862,{'SPY': 54},0.996,101.536
2022-06-24,20151.848,20151.848,0.0,{'SPY': 0},-0.009,101.518
2022-06-27,20151.848,20151.848,0.0,{'SPY': 0},0.0,101.518
2022-06-28,20151.848,20151.848,0.0,{'SPY': 0},0.0,101.518
2022-06-29,20130.281,295.179,19835.102,{'SPY': 53},-0.107,101.303
2022-06-30,19969.924,295.179,19674.745,{'SPY': 53},-0.797,99.699
2022-07-01,20174.086,295.179,19878.906,{'SPY': 53},1.022,101.741
2022-07-05,20172.336,20172.336,0.0,{'SPY': 0},-0.009,101.723
2022-07-06,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-07,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-08,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-11,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-12,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-13,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-14,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-15,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-18,20172.336,20172.336,0.0,{'SPY': 0},0.0,101.723
2022-07-19,20705.626,250.483,20455.143,{'SPY': 53},2.644,107.056
2022-07-20,20703.856,20703.856,0.0,{'SPY': 0},-0.009,107.039
2022-07-21,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-22,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-25,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-26,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-27,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-28,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-07-29,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-01,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-02,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-03,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-04,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-05,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-08,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-09,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-10,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-11,20703.856,20703.856,0.0,{'SPY': 0},0.0,107.039
2022-08-12,21048.861,39.026,21009.835,{'SPY': 50},1.666,110.489
2022-08-15,21047.021,21047.021,0.0,{'SPY': 0},-0.009,110.47
2022-08-16,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
2022-08-17,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
2022-08-18,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
2022-08-19,21047.021,21047.021,0.0,{'SPY': 0},0.0,110.47
