datetime,equity,cash,positions_value,positions,return,return_cum
2019-09-16,12092.781,-3.558,12096.339,{'SPY': 43},-0.296,20.928
2019-09-17,12124.214,-3.558,12127.772,{'SPY': 43},0.26,21.242
2019-09-18,12130.659,-3.558,12134.217,{'SPY': 43},0.053,21.307
2019-09-19,12129.051,-3.558,12132.609,{'SPY': 43},-0.013,21.291
2019-09-20,12066.443,-3.558,12070.001,{'SPY': 43},-0.516,20.664
2019-09-23,12071.302,-3.558,12074.86,{'SPY': 43},0.04,20.713
2019-09-24,11972.514,-3.558,11976.072,{'SPY': 43},-0.818,19.725
2019-09-25,12044.986,-3.558,12048.544,{'SPY': 43},0.605,20.45
2019-09-26,12019.479,-3.558,12023.036,{'SPY': 43},-0.212,20.195
2019-09-27,11954.299,-3.558,11957.857,{'SPY': 43},-0.542,19.543
2019-09-30,12013.811,-3.558,12017.369,{'SPY': 43},0.498,20.138
2019-10-01,11867.254,-3.558,11870.812,{'SPY': 43},-1.22,18.673
2019-10-02,11657.943,-3.558,11661.501,{'SPY': 43},-1.764,16.579
2019-10-03,11752.272,-3.558,11755.83,{'SPY': 43},0.809,17.523
2019-10-04,11914.215,-3.558,11917.773,{'SPY': 43},1.378,19.142
2019-10-07,11863.204,-3.558,11866.762,{'SPY': 43},-0.428,18.632
2019-10-08,11678.592,-3.558,11682.15,{'SPY': 43},-1.556,16.786
2019-10-09,11787.089,-3.558,11790.647,{'SPY': 43},0.929,17.871
2019-10-10,11868.467,-3.558,11872.025,{'SPY': 43},0.69,18.685
2019-10-11,11990.733,-3.558,11994.291,{'SPY': 43},1.03,19.907
2019-10-14,11980.615,-3.558,11984.173,{'SPY': 43},-0.084,19.806
2019-10-15,12097.618,-3.558,12101.176,{'SPY': 43},0.977,20.976
2019-10-16,12077.778,-3.558,12081.336,{'SPY': 43},-0.164,20.778
2019-10-17,12111.382,-3.558,12114.94,{'SPY': 43},0.278,21.114
2019-10-18,12060.372,-3.558,12063.93,{'SPY': 43},-0.421,20.604
2019-10-21,12144.174,-3.558,12147.732,{'SPY': 43},0.695,21.442
2019-10-22,12102.881,-3.558,12106.439,{'SPY': 43},-0.34,21.029
2019-10-23,12136.482,-3.558,12140.04,{'SPY': 43},0.278,21.365
2019-10-24,12159.155,-3.558,12162.713,{'SPY': 43},0.187,21.592
2019-10-25,12208.55,-3.558,12212.108,{'SPY': 43},0.406,22.085
2019-10-28,12278.184,-3.558,12281.742,{'SPY': 43},0.57,22.782
2019-10-29,12271.704,-3.558,12275.262,{'SPY': 43},-0.053,22.717
2019-10-30,12309.763,-3.558,12313.321,{'SPY': 43},0.31,23.098
2019-10-31,12274.133,-3.558,12277.691,{'SPY': 43},-0.289,22.741
2019-11-01,12392.353,-3.558,12395.911,{'SPY': 43},0.963,23.924
2019-11-04,12439.318,-3.558,12442.876,{'SPY': 43},0.379,24.393
2019-11-05,12425.549,-3.558,12429.107,{'SPY': 43},-0.111,24.255
2019-11-06,12431.221,-3.558,12434.779,{'SPY': 43},0.046,24.312
2019-11-07,12474.943,-3.558,12478.501,{'SPY': 43},0.352,24.749
2019-11-08,12505.31,-3.558,12508.868,{'SPY': 43},0.243,25.053
2019-11-11,12481.828,-3.558,12485.385,{'SPY': 43},-0.188,24.818
2019-11-12,12504.093,-3.558,12507.651,{'SPY': 43},0.178,25.041
2019-11-13,12509.356,-3.558,12512.914,{'SPY': 43},0.042,25.094
2019-11-14,12527.979,-3.558,12531.537,{'SPY': 43},0.149,25.28
2019-11-15,12621.096,-3.558,12624.654,{'SPY': 43},0.743,26.211
2019-11-18,12627.576,-3.558,12631.134,{'SPY': 43},0.051,26.276
2019-11-19,12623.525,-3.558,12627.083,{'SPY': 43},-0.032,26.235
2019-11-20,12578.99,-3.558,12582.548,{'SPY': 43},-0.353,25.79
2019-11-21,12558.75,-3.558,12562.308,{'SPY': 43},-0.161,25.588
2019-11-22,12587.496,-3.558,12591.054,{'SPY': 43},0.229,25.875
2019-11-25,12682.633,-3.558,12686.191,{'SPY': 43},0.756,26.826
2019-11-26,12709.762,-3.558,12713.32,{'SPY': 43},0.214,27.098
2019-11-27,12767.249,-3.558,12770.806,{'SPY': 43},0.452,27.672
2019-11-29,12719.88,-3.558,12723.438,{'SPY': 43},-0.371,27.199
2019-12-02,12611.786,-3.558,12615.344,{'SPY': 43},-0.85,26.118
2019-12-03,12525.55,-3.558,12529.108,{'SPY': 43},-0.684,25.255
2019-12-04,12606.523,-3.558,12610.081,{'SPY': 43},0.646,26.065
2019-12-05,12629.597,-3.558,12633.155,{'SPY': 43},0.183,26.296
2019-12-06,12742.15,-3.558,12745.707,{'SPY': 43},0.891,27.421
2019-12-09,12703.686,-3.558,12707.244,{'SPY': 43},-0.302,27.037
2019-12-10,12690.73,-3.558,12694.288,{'SPY': 43},-0.102,26.907
2019-12-11,12725.552,-3.558,12729.109,{'SPY': 43},0.274,27.256
2019-12-12,12836.074,-3.558,12839.632,{'SPY': 43},0.869,28.361
2019-12-13,12841.742,-3.558,12845.3,{'SPY': 43},0.044,28.417
2019-12-16,12932.029,-3.558,12935.587,{'SPY': 43},0.703,29.32
2019-12-17,12934.05,-3.558,12937.608,{'SPY': 43},0.016,29.34
2019-12-18,12934.454,-3.558,12938.012,{'SPY': 43},0.003,29.345
2019-12-19,12988.707,-3.558,12992.265,{'SPY': 43},0.419,29.887
2019-12-20,13054.209,-3.558,13057.767,{'SPY': 43},0.504,30.542
2019-12-23,13065.196,-3.558,13068.754,{'SPY': 43},0.084,30.652
2019-12-24,13066.821,-3.558,13070.379,{'SPY': 43},0.012,30.668
2019-12-26,13133.953,-3.558,13137.51,{'SPY': 43},0.514,31.34
2019-12-27,13131.919,-3.558,13135.477,{'SPY': 43},-0.015,31.319
2019-12-30,13060.311,-3.558,13063.869,{'SPY': 43},-0.545,30.603
2019-12-31,13092.453,-3.558,13096.011,{'SPY': 43},0.246,30.925
2020-01-02,13212.471,-3.558,13216.028,{'SPY': 43},0.917,32.125
2020-01-03,13114.83,-3.558,13118.388,{'SPY': 43},-0.739,31.148
2020-01-06,13164.87,-3.558,13168.428,{'SPY': 43},0.382,31.649
2020-01-07,13127.847,-3.558,13131.404,{'SPY': 43},-0.281,31.278
2020-01-08,13195.387,-3.558,13198.945,{'SPY': 43},0.514,31.954
2020-01-09,13284.891,-3.558,13288.449,{'SPY': 43},0.678,32.849
2020-01-10,13247.46,-3.558,13251.018,{'SPY': 43},-0.282,32.475
2020-01-13,13338.594,-3.558,13342.152,{'SPY': 43},0.688,33.386
2020-01-14,13317.846,-3.558,13321.404,{'SPY': 43},-0.156,33.178
2020-01-15,13347.951,-3.558,13351.509,{'SPY': 43},0.226,33.48
2020-01-16,13459.024,-3.558,13462.582,{'SPY': 43},0.832,34.59
2020-01-17,13504.183,-3.558,13507.741,{'SPY': 43},0.336,35.042
2020-01-21,13475.704,-3.558,13479.262,{'SPY': 43},-0.211,34.757
2020-01-22,13478.959,-3.558,13482.517,{'SPY': 43},0.024,34.79
2020-01-23,13493.196,-3.558,13496.754,{'SPY': 43},0.106,34.932
2020-01-24,13371.549,-3.558,13375.107,{'SPY': 43},-0.902,33.715
2020-01-27,13158.768,-3.558,13162.326,{'SPY': 43},-1.591,31.588
2020-01-28,13295.878,-3.558,13299.436,{'SPY': 43},1.042,32.959
2020-01-29,13284.891,-3.558,13288.449,{'SPY': 43},-0.083,32.849
2020-01-30,13327.203,-3.558,13330.761,{'SPY': 43},0.318,33.272
2020-01-31,13086.352,-3.558,13089.91,{'SPY': 43},-1.807,30.864
2020-02-03,13183.992,-3.558,13187.55,{'SPY': 43},0.746,31.84
2020-02-04,13384.978,-3.558,13388.536,{'SPY': 43},1.524,33.85
2020-02-05,13537.138,-3.558,13540.696,{'SPY': 43},1.137,35.371
2020-02-06,13583.518,-3.558,13587.075,{'SPY': 43},0.343,35.835
2020-02-07,13511.914,-3.558,13515.472,{'SPY': 43},-0.527,35.119
2020-02-10,13613.218,-3.558,13616.776,{'SPY': 43},0.75,36.132
2020-02-11,13637.629,-3.558,13641.187,{'SPY': 43},0.179,36.376
2020-02-12,13723.878,-3.558,13727.436,{'SPY': 43},0.632,37.239
2020-02-13,13710.454,-3.558,13714.012,{'SPY': 43},-0.098,37.105
2020-02-14,13731.61,-3.558,13735.168,{'SPY': 43},0.154,37.316
2020-02-18,13694.995,-3.558,13698.553,{'SPY': 43},-0.267,36.95
2020-02-19,13760.497,-3.558,13764.055,{'SPY': 43},0.478,37.605
2020-02-20,13706.386,-3.558,13709.944,{'SPY': 43},-0.393,37.064
2020-02-21,13564.395,-3.558,13567.953,{'SPY': 43},-1.036,35.644
2020-02-24,13113.609,-3.558,13117.167,{'SPY': 43},-3.323,31.136
2020-02-25,12718.56,-3.558,12722.118,{'SPY': 43},-3.013,27.186
2020-02-26,12671.771,-3.558,12675.329,{'SPY': 43},-0.368,26.718
2020-02-27,12102.185,-3.558,12105.743,{'SPY': 43},-4.495,21.022
2020-02-28,12045.636,-3.558,12049.193,{'SPY': 43},-0.467,20.456
2020-03-02,12571.28,-3.558,12574.838,{'SPY': 43},4.364,25.713
2020-03-03,12215.696,-3.558,12219.254,{'SPY': 43},-2.829,22.157
2020-03-04,12727.104,-3.558,12730.662,{'SPY': 43},4.186,27.271
2020-03-05,12301.541,-3.558,12305.099,{'SPY': 43},-3.344,23.015
2020-03-06,12096.896,-3.558,12100.454,{'SPY': 43},-1.664,20.969
2020-03-09,11160.334,-3.558,11163.892,{'SPY': 43},-7.742,11.603
